epoch step loss
1 1 2.5504276752471924
1 2 2.235769033432007
1 3 2.138902425765991
1 4 2.2139523029327393
1 5 2.218466281890869
1 6 2.600862741470337
1 7 2.460563898086548
1 8 2.103875160217285
1 9 2.1346254348754883
1 10 2.1992342472076416
1 11 2.1423239707946777
1 12 2.0980916023254395
1 13 2.159663438796997
1 14 2.118934154510498
1 15 1.8679430484771729
1 16 2.187689781188965
1 17 1.9940171241760254
1 18 2.1321375370025635
1 19 2.006866216659546
1 20 1.9340192079544067
1 21 1.8121463060379028
1 22 1.6568008661270142
1 23 1.7624188661575317
1 24 1.8132518529891968
1 25 1.6634770631790161
1 26 1.6681236028671265
1 27 1.7923038005828857
1 28 1.8511916399002075
1 29 1.843299388885498
1 30 1.4656730890274048
1 31 1.6753880977630615
1 32 2.0043704509735107
1 33 1.849915623664856
1 34 1.561689019203186
1 35 1.3768359422683716
1 36 1.6718095541000366
1 37 1.3621087074279785
1 38 1.5555287599563599
1 39 1.5364258289337158
1 40 1.2770293951034546
1 41 1.729742407798767
1 42 1.5377053022384644
1 43 1.4673163890838623
1 44 1.317740559577942
1 45 1.4855191707611084
1 46 1.6047958135604858
1 47 1.5375057458877563
1 48 1.0121833086013794
1 49 1.6755367517471313
1 50 1.2826086282730103
1 51 1.4046093225479126
1 52 1.3209723234176636
1 53 1.3469094038009644
1 54 1.5606458187103271
1 55 1.3048248291015625
1 56 1.4679228067398071
1 57 1.6410166025161743
1 58 1.6031056642532349
1 59 1.5458940267562866
1 60 1.3786952495574951
1 61 1.5046314001083374
1 62 1.3937386274337769
1 63 1.506121039390564
1 64 1.4287545680999756
1 65 1.4334251880645752
2 1 1.4684277772903442
2 2 1.2494354248046875
2 3 1.3060805797576904
2 4 1.181081771850586
2 5 1.379080891609192
2 6 1.315756916999817
2 7 1.5779896974563599
2 8 1.1561321020126343
2 9 1.2582825422286987
2 10 1.0507688522338867
2 11 1.2823964357376099
2 12 1.1275146007537842
2 13 1.2861955165863037
2 14 1.302952527999878
2 15 1.169318675994873
2 16 1.4342092275619507
2 17 1.2205368280410767
2 18 1.3100073337554932
2 19 1.1130883693695068
2 20 1.3573487997055054
2 21 1.4534937143325806
2 22 1.4004777669906616
2 23 1.149853229522705
2 24 1.5489827394485474
2 25 1.115200400352478
2 26 0.7901701331138611
2 27 1.6204497814178467
2 28 1.20182204246521
2 29 1.1601191759109497
2 30 1.4985802173614502
2 31 1.6578956842422485
2 32 0.9566976428031921
2 33 0.9704152345657349
2 34 1.2197166681289673
2 35 1.0076476335525513
2 36 1.5340535640716553
2 37 1.2203686237335205
2 38 1.2758830785751343
2 39 1.155219554901123
2 40 1.0809917449951172
2 41 0.9498154520988464
2 42 1.3568365573883057
2 43 1.135339617729187
2 44 1.2020809650421143
2 45 1.3786909580230713
2 46 1.1872836351394653
2 47 1.3288007974624634
2 48 1.2716999053955078
2 49 0.8551579117774963
2 50 1.0077650547027588
2 51 1.0522881746292114
2 52 1.084907054901123
2 53 1.4166755676269531
2 54 1.1533070802688599
2 55 1.263893961906433
2 56 1.2250698804855347
2 57 0.974579393863678
2 58 0.8655086755752563
2 59 1.0631906986236572
2 60 1.113706350326538
2 61 1.2861965894699097
2 62 1.224277377128601
2 63 1.3120838403701782
2 64 1.3395555019378662
2 65 1.5728251934051514
3 1 1.1298840045928955
3 2 1.3450161218643188
3 3 1.4538028240203857
3 4 1.1191500425338745
3 5 1.4901784658432007
3 6 1.2917931079864502
3 7 1.018870234489441
3 8 1.1587998867034912
3 9 0.843502402305603
3 10 1.1463207006454468
3 11 1.2018954753875732
3 12 0.8987600207328796
3 13 0.9510353803634644
3 14 0.6115942597389221
3 15 0.9970566630363464
3 16 1.1396247148513794
3 17 1.099092721939087
3 18 1.2525525093078613
3 19 1.1785848140716553
